ADAK IS.             AK US 184.35 142.88    4 ADK 0
COVINGTON            KY US 276.33 130.05  267 CVG 0
FORT KNOX            KY US 275.03 128.90  230 FTK 0
FT. CAMBELL AAF      KY US 273.50 127.67  174 HOP 0
JACKSON              KY US 277.68 128.60  414 JKL 0
LEXINGTON            KY US 276.40 129.03  302 LEX 0
LONDON               KY US 276.92 128.08  369 LOZ 0
LOUISVILLE           KY US 275.27 129.18  149 SDF 1
PADUCAH              KY US 272.23 128.07  125 PAH 0
PIKEVILLE            KY US 278.48 128.48  209 5I3 0
ALEXANDRIA           LA US 268.70 122.38   36 ESF 0
BARKSDALE AFB        LA US 267.33 123.50   51 BAD 0
BATON ROUGE          LA US 269.85 121.53   23 BTR 0
BOOTHVILLE           LA US 271.60 120.33    4 BVE 0
CLAIRBORNE AF RNG    LA US 268.37 122.18   67 01R 0
ENGLAND AFB          LA US 268.45 122.32   27 AEX 0
FT.POLK AAF          LA US 267.82 122.05  101 POE 0
LAFAYETTE            LA US 269.00 121.20   13 LFT 0
LAKE CHARLES         LA US 267.78 121.12   10 LCH 0
MONROE               LA US 268.95 123.52   24 MLU 0
NEW ORLEANS          LA US 270.75 120.98    9 MSY 1
NEW ORLEANS NAS      LA US 270.98 120.83    1 NBG 0
SHREVEPORT           LA US 267.18 123.47   79 SHV 0
BLUE HILLS           MA US 289.88 133.22  200 BLH 0
BOSTON               MA US 289.97 133.37    9 BOS 1
CHICOPEE FALLS       MA US 288.47 133.20   75 CEF 0
FORT DEVENS          MA US 289.40 133.57   82 AYE 0
NANTUCKET            MA US 290.93 132.25    4 ACK 0
OTIS AFB             MA US 290.48 132.65   40 FMH 0
S.WEYMOUTH NAS       MA US 290.07 133.15   49 NZW 0
WESTFIELD            MA US 288.28 133.17   82 BAF 0
WORCESTER            MA US 289.13 133.27  308 ORH 0
PILOT MOUND          MB US 262.10 140.20  475 WPO 0
ANDREWS AFB          MD US 284.13 129.82   84 ADW 0
BALTIMORE            MD US 284.33 130.18   47 BWI 1
CAMP DAVID           MD US 283.53 130.65  174 DVD 0
FORT MEADE           MD US 284.23 130.08   46 FME 0
GLENN MARTIN APRT    MD US 284.58 130.33    7 MTN 0
PATUXENT R.NAS       MD US 284.60 129.28   14 NHK 0
SALISBURY            MD US 285.50 129.33   18 SBY 0
AUGUSTA              ME US 291.20 135.32  109 AUG 0
BANGOR               ME US 292.18 135.80   59 BGR 0
BRUNSWICK NAS        ME US 291.07 134.88   24 NHZ 0
CARIBOU              ME US 292.98 137.87  192 CAR 0
GREENVILLE           ME US 291.45 136.47  427 3B1 0
HOULTON              ME US 293.22 137.13  150 HUL 0
LORING AFB           ME US 293.12 137.95  227 LIZ 0
PORTLAND             ME US 290.68 134.65   19 PWM 1
ALPENA               MI US 277.43 136.07  211 APN 0
BATTLE CREEK         MI US 275.77 133.30  287 BTL 0
